headline,date,url
"In Opening the Gates of Its Gulag, Iraq Unleashes Pain and Protest",2002-10-23,http://www.nytimes.com/2002/10/23/world/threats-responses-iraq-opening-gates-its-gulag-iraq-unleashes-pain-protest.html
Under the Arab Street,2002-10-23,http://www.nytimes.com/2002/10/23/opinion/under-the-arab-street.html
The Prisons of Saddam Hussein,2002-10-23,http://www.nytimes.com/2002/10/23/opinion/l-the-prisons-of-saddam-hussein-528420.html
War Clouds Will Darken Asia-Pacific Meeting in Mexico,2002-10-23,http://www.nytimes.com/2002/10/23/world/war-clouds-will-darken-asia-pacific-meeting-in-mexico.html
The Prisons of Saddam Hussein,2002-10-23,http://www.nytimes.com/2002/10/23/opinion/l-the-prisons-of-saddam-hussein-528455.html
'Big 5' at the United Nations Still Jockeying Over Iraq Text,2002-10-23,http://www.nytimes.com/2002/10/23/world/threats-responses-diplomacy-big-5-united-nations-still-jockeying-over-iraq-text.html
The Prisons of Saddam Hussein,2002-10-23,http://www.nytimes.com/2002/10/23/opinion/l-the-prisons-of-saddam-hussein-528447.html
The Illusory Prague Connection,2002-10-23,http://www.nytimes.com/2002/10/23/opinion/the-illusory-prague-connection.html
The Prisons of Saddam Hussein,2002-10-23,http://www.nytimes.com/2002/10/23/opinion/l-the-prisons-of-saddam-hussein-528439.html
Hicks Nix Blix Fix,2002-10-24,http://www.nytimes.com/2002/10/24/opinion/hicks-nix-blix-fix.html
A Tiny Gulf Kingdom Bets Its Stability on Support for U.S.,2002-10-24,http://www.nytimes.com/2002/10/24/world/threats-responses-crucial-ally-tiny-gulf-kingdom-bets-its-stability-support-for.html
NEWS SUMMARY,2002-10-24,http://www.nytimes.com/2002/10/24/nyregion/news-summary-547590.html
PENTAGON SETS UP INTELLIGENCE UNIT,2002-10-24,http://www.nytimes.com/2002/10/24/world/threats-and-responses-a-cia-rival-pentagon-sets-up-intelligence-unit.html
Report Finds U.S. Unprepared for Next Terrorist Attack,2002-10-25,http://www.nytimes.com/2002/10/25/world/threats-responses-gaps-security-report-finds-us-unprepared-for-next-terrorist.html
Rumsfeld Denies Rift Exists Between Pentagon and C.I.A.,2002-10-25,http://www.nytimes.com/2002/10/25/world/threats-responses-intelligence-rumsfeld-denies-rift-exists-between-pentagon-cia.html
Anger Builds and Seethes as Arabs Await American Invader,2002-10-25,http://www.nytimes.com/2002/10/25/world/threats-responses-arab-view-anger-builds-seethes-arabs-await-american-invader.html
"With an Eye on Taking Back the Senate, Bush Hits the Trail With Republican Candidates",2002-10-25,http://www.nytimes.com/2002/10/25/us/2000-campaign-president-with-eye-taking-back-senate-bush-hits-trail-with.html
Terrorism Panel Says U.S. Is Still Unready,2002-10-25,http://www.nytimes.com/2002/10/25/world/terrorism-panel-says-us-is-still-unready.html
Its Swing Vote In the Council Gives Mexico More Muscle,2002-10-25,http://www.nytimes.com/2002/10/25/world/threats-responses-diplomacy-its-swing-vote-council-gives-mexico-more-muscle.html
Has China Become an Ally?,2002-10-25,http://www.nytimes.com/2002/10/25/opinion/has-china-become-an-ally.html
Dead Parrot Society,2002-10-25,http://www.nytimes.com/2002/10/25/opinion/dead-parrot-society.html
Days of Diplomacy,2002-10-25,http://www.nytimes.com/2002/10/25/opinion/days-of-diplomacy.html
Bush and Jiang Vow to Cooperate on North Korea Issue,2002-10-26,http://www.nytimes.com/2002/10/26/world/threats-responses-east-west-ranch-bush-jiang-vow-cooperate-north-korea-issue.html
Antiwar Groups Massing in Washington,2002-10-26,http://www.nytimes.com/2002/10/26/us/antiwar-groups-massing-in-washington.html
U.S. Raises Pressure on Russia and France for Iraq Resolution,2002-10-26,http://www.nytimes.com/2002/10/26/world/threats-responses-diplomacy-us-raises-pressure-russia-france-for-iraq-resolution.html
Pirate Haunt Where Bush Will Meet World Leaders,2002-10-26,http://www.nytimes.com/2002/10/26/world/pirate-haunt-where-bush-will-meet-world-leaders.html
What Al Qaeda Learned in D.C.,2002-10-26,http://www.nytimes.com/2002/10/26/opinion/what-al-qaeda-learned-in-dc.html
Energy Companies Weigh Their Possible Future in Iraq,2002-10-26,http://www.nytimes.com/2002/10/26/business/international-business-energy-companies-weigh-their-possible-future-in-iraq.html
"Paul Wellstone, 58, Icon Of Liberalism in Senate",2002-10-26,http://www.nytimes.com/2002/10/26/us/a-death-in-the-senate-the-senator-paul-wellstone-58-icon-of-liberalism-in-senate.html
Keeping U.S. No. 1: Is It Wise? Is It New?,2002-10-26,http://www.nytimes.com/2002/10/26/arts/keeping-us-no-1-is-it-wise-is-it-new.html
Thousands March in Washington Against Going to War in Iraq,2002-10-27,http://www.nytimes.com/2002/10/27/world/threats-responses-protesters-thousands-march-washington-against-going-war-iraq.html
I Stand Alone,2002-10-27,http://www.nytimes.com/2002/10/27/magazine/lives-i-stand-alone.html
The Nation: Lost Hurrah; A Senator's Death and the Fight for Congress,2002-10-27,http://www.nytimes.com/2002/10/27/weekinreview/the-nation-lost-hurrah-a-senator-s-death-and-the-fight-for-congress.html
U.S. and 2 of Its Allies Warn North Korea on Atomic Arms,2002-10-27,http://www.nytimes.com/2002/10/27/world/us-and-2-of-its-allies-warn-north-korea-on-atomic-arms.html
12 Americans Stage Protest Hussein Is Happy to Allow,2002-10-27,http://www.nytimes.com/2002/10/27/world/threats-and-responses-iraq-12-americans-stage-protest-hussein-is-happy-to-allow.html
Iraq's October Surprise; Fear of Hussein May Be Yielding to Doubt,2002-10-27,http://www.nytimes.com/2002/10/27/weekinreview/iraq-s-october-surprise-fear-of-hussein-may-be-yielding-to-doubt.html
France Is Set to Offer the U.N. A Separate Resolution on Iraq,2002-10-27,http://www.nytimes.com/2002/10/27/world/threats-responses-diplomacy-france-set-offer-un-separate-resolution-iraq.html
Lessons From Japan About War's Aftermath,2002-10-27,http://www.nytimes.com/2002/10/27/opinion/lessons-from-japan-about-war-s-aftermath.html
"Word for Word/Inside Iraq; Beheadings, Amputations, Reprisals: Saddam Hussein's Paper Trail",2002-10-27,http://www.nytimes.com/2002/10/27/weekinreview/word-for-word-inside-iraq-beheadings-amputations-reprisals-saddam-hussein-s.html
The Chechens' Holy War: How Global Is It?,2002-10-27,http://www.nytimes.com/2002/10/27/weekinreview/the-chechens-holy-war-how-global-is-it.html
A For-Profit Military Role,2002-10-27,http://www.nytimes.com/2002/10/27/business/l-a-for-profit-military-role-592595.html
Government Spin: The Word Is Out,2002-10-28,http://www.nytimes.com/2002/10/28/opinion/l-government-spin-the-word-is-out-617091.html
RESERVE CALL-UP FOR AN IRAQ WAR MAY EQUAL 1991'S,2002-10-28,http://www.nytimes.com/2002/10/28/world/threats-responses-mobilization-reserve-call-up-for-iraq-war-may-equal-1991-s.html
"Iraq's Jails, and Ours",2002-10-28,http://www.nytimes.com/2002/10/28/opinion/l-iraq-s-jails-and-ours-578517.html
"Turkey, in the Middle, Grows More Worried Every Day About a U.S. Attack on Iraq",2002-10-28,http://www.nytimes.com/2002/10/28/world/threats-responses-allies-turkey-middle-grows-more-worried-every-day-about-us.html
Veteran Battles Charge He's Soft on Defense,2002-10-28,http://www.nytimes.com/2002/10/28/us/the-2002-campaign-georgia-veteran-battles-charge-he-s-soft-on-defense.html
"Iraq Offers West's Reporters A Kinder, Gentler Face",2002-10-28,http://www.nytimes.com/2002/10/28/world/threats-responses-foreign-correspondents-iraq-offers-west-s-reporters-kinder.html
Lessons in Hatred,2002-10-28,http://www.nytimes.com/2002/10/28/opinion/l-lessons-in-hatred-579033.html
"Iraq Makes U.N. Seem 'Foolish,' Bush Asserts",2002-10-29,http://www.nytimes.com/2002/10/29/world/threats-and-responses-the-white-house-iraq-makes-un-seem-foolish-bush-asserts.html
"With Allies Likely and Unlikely, U.S. Navy Stems Flow of Iraqi Oil",2002-10-29,http://www.nytimes.com/2002/10/29/world/threats-responses-with-allies-likely-unlikely-us-navy-stems-flow-iraqi-oil.html
"Inquiry Finds American Was Killed by Fire From U.S. Gunship, Not Enemy",2002-10-29,http://www.nytimes.com/2002/10/29/world/threats-responses-casualties-afghanistan-inquiry-finds-american-was-killed-fire.html
Rally in Washington Is Said to Invigorate the Antiwar Movement,2002-10-30,http://www.nytimes.com/2002/10/30/us/threats-responses-dissent-rally-washington-said-invigorate-antiwar-movement.html
NEWS SUMMARY,2002-10-30,http://www.nytimes.com/2002/10/30/nyregion/news-summary-650560.html
A War for Oil?,2002-10-30,http://www.nytimes.com/2002/10/30/opinion/l-a-war-for-oil-652377.html
Iranian Leader Says U.S. Helps bin Laden's Image,2002-10-30,http://www.nytimes.com/2002/10/30/world/threats-responses-voice-against-war-iranian-leader-says-us-helps-bin-laden-s.html
U.S. AND FRANCE NEAR COMPROMISE ON ACTION ON IRAQ,2002-10-30,http://www.nytimes.com/2002/10/30/world/threats-responses-toward-resolution-us-france-near-compromise-action-iraq.html
Belgrade Accused of Involvement in Arms Sales to Baghdad,2002-10-31,http://www.nytimes.com/2002/10/31/world/belgrade-accused-of-involvement-in-arms-sales-to-baghdad.html
"No Veto Threat From Security Council Negotiations on Iraq, but No Resolution Either",2002-10-31,http://www.nytimes.com/2002/10/31/world/threats-responses-united-nations-no-veto-threat-security-council-negotiations.html
On Playing Hunches,2002-10-31,http://www.nytimes.com/2002/10/31/opinion/on-playing-hunches.html
"Jordan, Between Iraq and U.S., Worries About War",2002-11-01,http://www.nytimes.com/2002/11/01/world/threats-and-responses-assassination-jordan-between-iraq-and-us-worries-about-war.html
Shift Toward the U.S. Stand On Iraq Is Noted in Council,2002-11-01,http://www.nytimes.com/2002/11/01/world/threats-responses-united-nations-shift-toward-us-stand-iraq-noted-council.html
Bush Swings Through 3 States to Build Support for the G.O.P.,2002-11-01,http://www.nytimes.com/2002/11/01/us/2002-campaign-president-bush-swings-through-3-states-build-support-for-gop.html
"'The Godfather, Part IV'",2002-11-02,http://www.nytimes.com/2002/11/02/opinion/the-godfather-part-iv.html
America's Most Wanting,2002-11-02,http://www.nytimes.com/2002/11/02/opinion/america-s-most-wanting.html
"The World; To Iran, Iraq May Be The Greater Satan",2002-11-03,http://www.nytimes.com/2002/11/03/weekinreview/the-world-to-iran-iraq-may-be-the-greater-satan.html
The World: After Hussein; Controlling Iraq's Oil Wouldn't Be Simple,2002-11-03,http://www.nytimes.com/2002/11/03/weekinreview/the-world-after-hussein-controlling-iraq-s-oil-wouldn-t-be-simple.html
"Egypt Shores Up Security, but Tourism Is Shaky",2002-11-03,http://www.nytimes.com/2002/11/03/world/egypt-shores-up-security-but-tourism-is-shaky.html
Let Them Come to Berlin,2002-11-03,http://www.nytimes.com/2002/11/03/opinion/let-them-come-to-berlin.html
NEWS SUMMARY,2002-11-03,http://www.nytimes.com/2002/11/03/nyregion/news-summary-719714.html
U.S. PILOTS IN GULF USE SOUTHERN IRAQ FOR PRACTICE RUNS,2002-11-03,http://www.nytimes.com/2002/11/03/world/threats-responses-military-us-pilots-gulf-use-southern-iraq-for-practice-runs.html
"On Friendly Turf in Wyoming, Cheney Tries to Help Keep Top Jobs in G.O.P. Hands",2002-11-04,http://www.nytimes.com/2002/11/04/us/2002-campaign-vice-president-friendly-turf-wyoming-cheney-tries-help-keep-top.html
A Warning From Iraq,2002-11-05,http://www.nytimes.com/2002/11/05/world/a-warning-from-iraq.html
"No Decision Yet on Letting U.S. Use Bases, Saudi Says",2002-11-05,http://www.nytimes.com/2002/11/05/world/threats-responses-diplomacy-no-decision-yet-letting-us-use-bases-saudi-says.html
How Others See Us: A Strutting Giant,2002-11-05,http://www.nytimes.com/2002/11/05/opinion/l-how-others-see-us-a-strutting-giant-749699.html
"With One Day to Go, Bush Keeps Stumping",2002-11-05,http://www.nytimes.com/2002/11/05/us/the-2002-campaign-the-president-with-one-day-to-go-bush-keeps-stumping.html
U.S. Refines Resolution on Iraq as Hopes Rise,2002-11-05,http://www.nytimes.com/2002/11/05/world/threats-and-responses-the-un-us-refines-resolution-on-iraq-as-hopes-rise.html
President's Risks Are Rewarded at Polls,2002-11-06,http://www.nytimes.com/2002/11/06/us/the-2002-elections-news-analysis-president-s-risks-are-rewarded-at-polls.html
The American Idol,2002-11-06,http://www.nytimes.com/2002/11/06/opinion/the-american-idol.html
Guns and Butter and a World of Worries at Ballot Boxes Across the U.S.,2002-11-06,http://www.nytimes.com/2002/11/06/us/2002-elections-voters-guns-butter-world-worries-ballot-boxes-across-us.html
Iran Has Reportedly Pledged Help in Ousting Al Qaeda Militants From Northern Iraq,2002-11-06,http://www.nytimes.com/2002/11/06/world/threats-responses-kurds-iran-has-reportedly-pledged-help-ousting-al-qaeda.html
"U.S., Counting on France, Will Submit Iraq Plan to U.N.",2002-11-06,http://www.nytimes.com/2002/11/06/world/threats-responses-security-council-us-counting-france-will-submit-iraq-plan-un.html
"G.O.P. RETAKES CONTROL OF THE SENATE IN A SHOW OF PRESIDENTIAL INFLUENCE; PATAKI, JEB BUSH AND LAUTENBERG WIN",2002-11-06,http://www.nytimes.com/2002/11/06/us/2002-elections-overview-gop-retakes-control-senate-show-presidential-influence.html
"Cairo Journal; Saddam's 'Weapons' Costly, 'Bush-Sharon' Cheap",2002-11-07,http://www.nytimes.com/2002/11/07/world/cairo-journal-saddam-s-weapons-costly-bush-sharon-cheap.html
Bush's Validation Day,2002-11-07,http://www.nytimes.com/2002/11/07/opinion/bush-s-validation-day.html
Iraqi Opposition Groups Quarrel Over Conference,2002-11-07,http://www.nytimes.com/2002/11/07/world/threats-and-responses-the-exiles-iraqi-opposition-groups-quarrel-over-conference.html
"U.S. Gives U.N. an Iraq Measure, Seeking a Council Vote Tomorrow",2002-11-07,http://www.nytimes.com/2002/11/07/world/threats-responses-diplomacy-us-gives-un-iraq-measure-seeking-council-vote.html
Democrat Leads Slightly In Senate Race,2002-11-07,http://www.nytimes.com/2002/11/07/us/the-2002-elections-south-dakota-democrat-leads-slightly-in-senate-race.html
"Netanyahu Starts Cabinet Job, Vowing to Help Sharon Before Beating Him",2002-11-07,http://www.nytimes.com/2002/11/07/world/netanyahu-starts-cabinet-job-vowing-to-help-sharon-before-beating-him.html
Democrats Catalog Mistakes; Gephardt Ceding House Post,2002-11-07,http://www.nytimes.com/2002/11/07/us/2002-elections-minority-party-democrats-catalog-mistakes-gephardt-ceding-house.html
QUOTATION OF THE DAY,2002-11-08,http://www.nytimes.com/2002/11/08/nyregion/quotation-of-the-day-806447.html
Bush Signal: Time Is Now,2002-11-08,http://www.nytimes.com/2002/11/08/world/threats-and-responses-news-analysis-bush-signal-time-is-now.html
Ringleader of '85 Achille Lauro Hijacking Says Killing Wasn't His Fault,2002-11-08,http://www.nytimes.com/2002/11/08/world/threats-responses-old-terrorist-ringleader-85-achille-lauro-hijacking-says.html
Excerpts From News Conference: Imagine 'Hussein With Nuclear Weapons',2002-11-08,http://www.nytimes.com/2002/11/08/us/2002-election-excerpts-conference-imagine-hussein-with-nuclear-weapons.html
Peace Plan By U.S. Splits Netanyahu And Sharon,2002-11-08,http://www.nytimes.com/2002/11/08/world/peace-plan-by-us-splits-netanyahu-and-sharon.html
Be Careful What You Ask For,2002-11-08,http://www.nytimes.com/2002/11/08/opinion/be-careful-what-you-ask-for.html
PRESIDENT WARNS HUSSEIN TO HEED A CALL TO DISARM,2002-11-08,http://www.nytimes.com/2002/11/08/world/threats-and-responses-diplomacy-president-warns-hussein-to-heed-a-call-to-disarm.html
NEWS SUMMARY,2002-11-08,http://www.nytimes.com/2002/11/08/nyregion/news-summary-811157.html
A Unified Message to Iraq,2002-11-09,http://www.nytimes.com/2002/11/09/opinion/a-unified-message-to-iraq.html
We're Not in Florida Anymore,2002-11-09,http://www.nytimes.com/2002/11/09/opinion/we-re-not-in-florida-anymore.html
"SECURITY COUNCIL VOTES, 15-0, FOR TOUGH IRAQ RESOLUTION; BUSH CALLS IT A 'FINAL TEST'",2002-11-09,http://www.nytimes.com/2002/11/09/world/threats-responses-united-nations-security-council-votes-15-0-for-tough-iraq.html
Transcript of Bush's Remarks on the Security Council's Iraq Resolution,2002-11-09,http://www.nytimes.com/2002/11/09/world/threats-responses-transcript-bush-s-remarks-security-council-s-iraq-resolution.html
U.S. Plans to Pressure Iraq By Encouraging Scientists To Leak Data to Inspectors,2002-11-09,http://www.nytimes.com/2002/11/09/world/threats-responses-strategy-us-plans-pressure-iraq-encouraging-scientists-leak.html
"How Powell Lined Up Votes, Starting With His President's",2002-11-09,http://www.nytimes.com/2002/11/09/world/threats-responses-diplomacy-powell-lined-up-votes-starting-with-his-president-s.html
A Unified Message to Iraq,2002-11-09,http://www.nytimes.com/2002/11/09/opinion/a-unified-message-to-iraq.html
Clock Ticks for Hussein,2002-11-09,http://www.nytimes.com/2002/11/09/world/threats-and-responses-news-analysis-clock-ticks-for-hussein.html
A Change That Pleases Both Parties,2002-11-09,http://www.nytimes.com/2002/11/09/us/the-2002-election-the-context-a-change-that-pleases-both-parties.html
U.N. Plans Immediate Test of Iraq Inspections,2002-11-10,http://www.nytimes.com/2002/11/10/world/threats-and-responses-united-nations-un-plans-immediate-test-of-iraq-inspections.html
Between a Paw and a Sharp Place,2002-11-10,http://www.nytimes.com/2002/11/10/business/between-a-paw-and-a-sharp-place.html
Questions of War and Timing,2002-11-10,http://www.nytimes.com/2002/11/10/opinion/questions-of-war-and-timing.html
